"GEOID","rate_per_100k"
"36119000101",47.9296677106788
"36119000103",42.5572946614384
"36119000104",30.8580344689742
"36119000202",35.0762018810813
"36119000203",34.1248533474149
"36119000204",46.2441768979869
"36119000205",48.2175207698159
"36119000300",50.3637529576797
"36119000401",41.4071878230014
"36119000403",37.5199773029138
"36119000404",32.812530837156
"36119000501",53.4711313133848
"36119000502",45.9512456159298
"36119000601",40.2435601046854
"36119000602",32.1775706236521
"36119000801",29.4053071349429
"36119000802",38.9518770999633
"36119000900",27.6903944343463
"36119001000",48.9001185317315
"36119001101",51.3321210302199
"36119001102",46.7747023440133
"36119001200",40.764175877098
"36119001301",43.1278117809729
"36119001302",42.0946223078465
"36119001304",43.8845135983667
"36119001305",48.3917157129164
"36119001401",48.8925839388373
"36119001402",49.1611792498028
"36119001403",49.258794049099
"36119001502",54.8175670539083
"36119001503",47.4380552597393
"36119001504",48.1288241628705
"36119001505",54.0973177894739
"36119001600",49.1084360172055
"36119001701",42.6253926975645
"36119001702",45.2521026368629
"36119001800",49.9711982579013
"36119002000",38.8342152453919
"36119002203",61.0890556637862
"36119002300",46.957691360955
"36119002401",48.5793229945117
"36119002402",46.4032248211052
"36119002403",48.2653140765812
"36119002404",42.2879039199685
"36119002405",44.47624363335
"36119002600",56.6909170871876
"36119002700",55.7304605673528
"36119002800",54.7246809264058
"36119002900",51.0997561910839
"36119003000",50.7593145856967
"36119003100",53.4940528754538
"36119003200",50.8316621940784
"36119003300",50.2901180598801
"36119003400",51.5448694006307
"36119003500",50.4744883541491
"36119003600",52.0127181152981
"36119003700",50.333733743202
"36119003800",54.6565863142778
"36119003900",51.1885981675729
"36119004001",47.3738388910544
"36119004002",42.1957111798249
"36119004100",44.9775572195129
"36119004500",56.0184796750755
"36119006000",52.2701197097944
"36119006100",71.6605047919912
"36119006200",41.1174914706282
"36119006301",48.9143521486089
"36119006302",75.2492472500707
"36119006500",44.717973943711
"36119015100",44.9513154074747
