"GEOID","rate_per_100k"
"36119000101",174.334107822349
"36119000103",155.470813577058
"36119000104",114.46371135225
"36119000202",129.694442714607
"36119000203",126.186084793488
"36119000204",168.35675536236
"36119000205",175.134184871899
"36119000300",182.319602143648
"36119000401",151.787369233655
"36119000403",138.043300313605
"36119000404",121.574968132659
"36119000501",193.092590524921
"36119000502",167.414685662598
"36119000601",147.774549795114
"36119000602",119.433132523974
"36119000801",109.555660182851
"36119000802",143.077742622597
"36119000900",103.333002415964
"36119001000",177.284871895586
"36119001101",185.747737399733
"36119001102",170.068277992635
"36119001200",149.564344239524
"36119001301",157.616784924923
"36119001302",154.055448623716
"36119001304",160.329656485247
"36119001305",175.813099311066
"36119001401",177.657381863569
"36119001402",178.280661784367
"36119001403",178.74852898494
"36119001502",197.210103422218
"36119001503",172.39986968185
"36119001504",174.759978095481
"36119001505",194.773156602895
"36119001600",178.22095828702
"36119001701",156.05836736404
"36119001702",164.945018075881
"36119001800",181.050259028699
"36119002000",142.966743822381
"36119002203",218.139040522215
"36119002300",170.703888724371
"36119002401",176.187151538486
"36119002402",168.953699101226
"36119002403",175.356298258694
"36119002404",154.743782548804
"36119002405",162.590796596928
"36119002600",203.508399710071
"36119002700",200.36016767089
"36119002800",197.124016330877
"36119002900",184.778558342775
"36119003000",183.549280693489
"36119003100",192.808858562418
"36119003200",183.802585137312
"36119003300",182.166774993844
"36119003400",186.351896107118
"36119003500",182.731710343248
"36119003600",187.864561365244
"36119003700",182.113706183498
"36119003800",196.645988088779
"36119003900",184.967560958192
"36119004001",172.330016765799
"36119004002",154.407427748441
"36119004100",164.031351379829
"36119004500",201.185938597434
"36119006000",188.693462157308
"36119006100",252.545682238771
"36119006200",150.704558804433
"36119006301",177.333718442343
"36119006302",263.576721025411
"36119006500",163.646147681355
"36119015100",164.216493369297
