"GEOID","exposure_ug_m3"
"36119000101",6.58279033009906
"36119000103",6.41251864730498
"36119000104",5.94387415628245
"36119000202",6.33011996591579
"36119000203",5.83454252180386
"36119000204",6.30729744113125
"36119000205",6.4315416275087
"36119000300",6.64107023147632
"36119000401",6.33921050657839
"36119000403",5.75078097808752
"36119000404",5.88966094455682
"36119000501",6.69421792027366
"36119000502",7.00195744797649
"36119000601",6.90238265746567
"36119000602",6.04488649975925
"36119000801",7.51158388686347
"36119000802",7.93312922975124
"36119000900",6.76463904351538
"36119001000",6.95298176589374
"36119001101",7.23622739745089
"36119001102",7.05449493969964
"36119001200",6.29923480205825
"36119001301",6.52689463230216
"36119001302",6.41384751431296
"36119001304",6.43380037926533
"36119001305",6.16946388230094
"36119001401",7.7315459545068
"36119001402",7.24629753359527
"36119001403",6.50073710801837
"36119001502",6.94680726467419
"36119001503",6.3101421417519
"36119001504",7.18522166218695
"36119001505",7.82254925500473
"36119001600",8.08757463909755
"36119001701",8.04268699135408
"36119001702",7.59786646790461
"36119001800",7.17725129580578
"36119002000",6.04844643721683
"36119002203",7.52284471253342
"36119002300",7.82450851347261
"36119002401",7.97247926422388
"36119002402",7.60450287446166
"36119002403",7.7854026270839
"36119002404",7.37170992840437
"36119002405",7.67644036270893
"36119002600",6.81491035140067
"36119002700",6.66880471547321
"36119002800",6.73063038125172
"36119002900",6.73460480309311
"36119003000",7.28001017466482
"36119003100",6.76639705059686
"36119003200",6.67807097001577
"36119003300",6.49231629390653
"36119003400",6.80201968724489
"36119003500",7.51487578148729
"36119003600",7.13803271863629
"36119003700",7.47213752308036
"36119003800",7.96106333741241
"36119003900",7.31481329746822
"36119004001",7.13209767504345
"36119004002",6.78254065002793
"36119004100",6.62777509194879
"36119004500",8.21613415727476
"36119006000",6.74687480167058
"36119006100",6.70426642540024
"36119006200",6.08810639319124
"36119006301",6.34797454097434
"36119006302",7.23988713138592
"36119006500",6.29280535962931
"36119015100",6.59475342901024
