"GEOID","traffic_fraction"
"36119000101",0.757413449915098
"36119000103",0.721218777114939
"36119000104",0.743816387174213
"36119000202",0.724871871064873
"36119000203",0.73293609541635
"36119000204",0.776665684030105
"36119000205",0.748681588525743
"36119000300",0.799778346720861
"36119000401",0.771070854501982
"36119000403",0.696308830760136
"36119000404",0.794492965989265
"36119000501",0.676085520001931
"36119000502",0.835783037172812
"36119000601",0.825663781796839
"36119000602",0.861705232840101
"36119000801",0.883030950507374
"36119000802",0.845157102836426
"36119000900",0.902251044667485
"36119001000",0.776645223655367
"36119001101",0.857808289059922
"36119001102",0.896156840789992
"36119001200",0.798507750630112
"36119001301",0.881480595961987
"36119001302",0.799933779462061
"36119001304",0.80999342196013
"36119001305",0.765967481231496
"36119001401",0.753073215254813
"36119001402",0.836820963221555
"36119001403",0.792856787089086
"36119001502",0.750385789159827
"36119001503",0.634836189245542
"36119001504",0.634031512224904
"36119001505",0.903593413366477
"36119001600",0.806491841359983
"36119001701",0.798710515005771
"36119001702",0.863273631292691
"36119001800",0.713081550673443
"36119002000",0.897991929413933
"36119002203",0.817378687995272
"36119002300",0.917431657868656
"36119002401",0.832613306291393
"36119002402",0.898655742388728
"36119002403",0.825429542503238
"36119002404",0.758132894955859
"36119002405",0.798569506059909
"36119002600",0.645503247328402
"36119002700",0.662691476615929
"36119002800",0.608599841492247
"36119002900",0.618818176302654
"36119003000",0.662231149381248
"36119003100",0.702602859749727
"36119003200",0.74799555634161
"36119003300",0.670186378781175
"36119003400",0.723242514192134
"36119003500",0.656178337582418
"36119003600",0.692887469680765
"36119003700",0.694248647713184
"36119003800",0.743453310802433
"36119003900",0.64928304030016
"36119004001",0.748154054720631
"36119004002",0.719201692776219
"36119004100",0.813201973247106
"36119004500",0.765075111002821
"36119006000",0.75311748949505
"36119006100",0.612715189614894
"36119006200",0.71445806085474
"36119006301",0.732231512100568
"36119006302",0.635247795886255
"36119006500",0.795649116670796
"36119015100",0.829659112728984
