"GEOID","exposure_ppb"
"36119000101",9.62220275853026
"36119000103",8.49319579618776
"36119000104",6.07308618899273
"36119000202",7.01891110936883
"36119000203",6.80390653841563
"36119000204",9.20604341047326
"36119000205",9.62683369819042
"36119000300",10.0723970110479
"36119000401",8.20413285866276
"36119000403",7.49303279779876
"36119000404",6.44747044753105
"36119000501",10.7499990305126
"36119000502",9.18178085722591
"36119000601",8.0388073072845
"36119000602",6.37505686861849
"36119000801",5.81942335866033
"36119000802",7.73089379318802
"36119000900",5.46565309342043
"36119001000",9.739966562628
"36119001101",10.2542339089133
"36119001102",9.33364459603499
"36119001200",8.08713940476142
"36119001301",8.58796092612384
"36119001302",8.39468403430626
"36119001304",8.71977701966339
"36119001305",9.66342167614523
"36119001401",9.78293678468387
"36119001402",9.80005326440232
"36119001403",9.82250584618919
"36119001502",10.9907055810948
"36119001503",9.49604627574928
"36119001504",9.62717601915268
"36119001505",10.8570673204768
"36119001600",9.78802561945213
"36119001701",8.49437691633974
"36119001702",9.01842711187738
"36119001800",10.0203576320738
"36119002000",7.72140679865375
"36119002203",12.2837757866929
"36119002300",9.37725737401435
"36119002401",9.72748342677728
"36119002402",9.24981658946021
"36119002403",9.65937173376653
"36119002404",8.43424671034433
"36119002405",8.82489546126573
"36119002600",11.3941755053524
"36119002700",11.1787039867008
"36119002800",10.9528989497569
"36119002900",10.2011546598406
"36119003000",10.163491989493
"36119003100",10.7140290785446
"36119003200",10.1656589845133
"36119003300",10.0971616746295
"36119003400",10.3103330488197
"36119003500",10.0975543576062
"36119003600",10.4216951110796
"36119003700",10.0661118935693
"36119003800",10.9634873060652
"36119003900",10.2563076896604
"36119004001",9.47574435368936
"36119004002",8.4220532296276
"36119004100",8.96987936412093
"36119004500",11.2468217563177
"36119006000",10.4521694896269
"36119006100",14.5101070549217
"36119006200",8.17604225995143
"36119006301",9.80470390592022
"36119006302",15.2591836656081
"36119006500",8.8921465852781
"36119015100",8.95062101439467
