"GEOID","rate_per_100k"
"36119000101",67.9641030213433
"36119000103",66.2905500843274
"36119000104",61.6261140452154
"36119000202",65.417076032847
"36119000203",60.7369651619061
"36119000204",65.3821265043735
"36119000205",66.6414012997436
"36119000300",68.6338327866438
"36119000401",65.6991717217394
"36119000403",59.8868861950976
"36119000404",61.2775015253713
"36119000501",69.379816874888
"36119000502",72.5194384713979
"36119000601",71.6587452789449
"36119000602",63.0869277484989
"36119000801",77.3434808519434
"36119000802",81.3441566782738
"36119000900",69.9713422308734
"36119001000",71.7870509631371
"36119001101",74.7955847421017
"36119001102",72.7143090718536
"36119001200",65.2937357666717
"36119001301",67.6473096226764
"36119001302",66.6938813966298
"36119001304",66.6430654698472
"36119001305",63.9524659801735
"36119001401",79.3350608783355
"36119001402",74.544204012596
"36119001403",67.299253828094
"36119001502",72.0413713294299
"36119001503",65.4704658473792
"36119001504",74.1772945510153
"36119001505",80.052773474137
"36119001600",82.8384891624598
"36119001701",82.3894900931481
"36119001702",78.2098881720422
"36119001800",73.9817865987726
"36119002000",62.9621978815622
"36119002203",77.3143075279085
"36119002300",80.1532259535119
"36119002401",81.8627057143458
"36119002402",77.9044803405133
"36119002403",79.6229831364724
"36119002404",76.3447667205499
"36119002405",78.8347288671861
"36119002600",70.2103646159205
"36119002700",68.8520115679399
"36119002800",69.5814227096361
"36119002900",69.4507824055617
"36119003000",75.1257693720004
"36119003100",69.6938615314394
"36119003200",68.7160828514833
"36119003300",66.7564319017155
"36119003400",70.193307201497
"36119003500",77.233547580518
"36119003600",73.7148795300421
"36119003700",76.7595624829635
"36119003800",81.4511720640306
"36119003900",75.6659188489886
"36119004001",73.8419651505555
"36119004002",70.2088927855765
"36119004100",68.7767088987585
"36119004500",83.9988142388919
"36119006000",69.7248157672239
"36119006100",69.4207655744021
"36119006200",63.5186633597955
"36119006301",66.1591921133491
"36119006302",75.1054427183928
"36119006500",65.2403472875604
"36119015100",68.4846265535544
