"GEOID","rate_per_100k"
"36119000101",308.285319630382
"36119000103",301.457123032482
"36119000104",282.202827584388
"36119000202",297.909994491136
"36119000203",278.535885576862
"36119000204",297.640251505793
"36119000205",302.893435572365
"36119000300",311.004440727198
"36119000401",299.054840290213
"36119000403",274.978529748293
"36119000404",280.749466841432
"36119000501",313.888983410143
"36119000502",326.584315091947
"36119000601",323.155244418781
"36119000602",288.265144724914
"36119000801",346.016044814024
"36119000802",361.542901133021
"36119000900",316.44985300459
"36119001000",323.639506087393
"36119001101",335.677912917477
"36119001102",327.407869400744
"36119001200",297.419403083046
"36119001301",306.960462451183
"36119001302",303.236434054472
"36119001304",302.811287965587
"36119001305",291.848550962395
"36119001401",353.773803232361
"36119001402",334.757147508562
"36119001403",305.723965171063
"36119001502",325.004836055801
"36119001503",298.127232021593
"36119001504",333.370960171966
"36119001505",356.386924339557
"36119001600",367.42166718708
"36119001701",365.718827029947
"36119001702",349.570728261388
"36119001800",332.44092303359
"36119002000",288.046309243812
"36119002203",345.535211615258
"36119002300",356.852381311897
"36119002401",363.41272429556
"36119002402",347.953565612441
"36119002403",354.881949714675
"36119002404",341.979077290577
"36119002405",351.800945630463
"36119002600",317.300615801464
"36119002700",311.857439644352
"36119002800",314.882876370131
"36119002900",314.363725766975
"36119003000",337.04608364828
"36119003100",315.277687104192
"36119003200",311.336866404689
"36119003300",303.353438127617
"36119003400",317.361946871751
"36119003500",345.360347274905
"36119003600",331.486289719991
"36119003700",343.522768289675
"36119003800",361.929441841568
"36119003900",339.309917981275
"36119004001",331.942548870415
"36119004002",317.434999919831
"36119004100",311.627180104999
"36119004500",371.697555312824
"36119006000",315.481078620339
"36119006100",314.184112173496
"36119006200",290.070148018308
"36119006301",300.90675327796
"36119006302",337.003284448156
"36119006500",297.198807533694
"36119015100",310.847900638248
