"GEOID","traffic_fraction"
"36119000101",0.44596036477996
"36119000103",0.384776276624655
"36119000104",0.30612891226703
"36119000202",0.323755992983746
"36119000203",0.344283657262774
"36119000204",0.456628054943378
"36119000205",0.451402858877782
"36119000300",0.488610923291454
"36119000401",0.40196715336624
"36119000403",0.365452953893078
"36119000404",0.350338519361953
"36119000501",0.437329708957914
"36119000502",0.441468556126047
"36119000601",0.387341997924833
"36119000602",0.366060956506561
"36119000801",0.279121913710282
"36119000802",0.331757990089027
"36119000900",0.332735450225105
"36119001000",0.438235765686121
"36119001101",0.489643529610872
"36119001102",0.477604187017481
"36119001200",0.412938176906902
"36119001301",0.467191553312574
"36119001302",0.421733915338784
"36119001304",0.442199306225177
"36119001305",0.48327308062381
"36119001401",0.383829963197487
"36119001402",0.455872707774277
"36119001403",0.482562098364903
"36119001502",0.478215548679368
"36119001503",0.384825749275407
"36119001504",0.342190818635614
"36119001505",0.505168251401723
"36119001600",0.39316562650049
"36119001701",0.33979620978702
"36119001702",0.412749338701385
"36119001800",0.401017234238269
"36119002000",0.4952968646033
"36119002203",0.537615598588747
"36119002300",0.445513550509607
"36119002401",0.409212805780632
"36119002402",0.456022550032831
"36119002403",0.412521490759271
"36119002404",0.349399413043722
"36119002405",0.369795122851448
"36119002600",0.434730345581179
"36119002700",0.447459371667296
"36119002800",0.398936654952137
"36119002900",0.377571360924479
"36119003000",0.372408285895426
"36119003100",0.4481300043574
"36119003200",0.458650944366732
"36119003300",0.419849852314032
"36119003400",0.441588265761366
"36119003500",0.355152642168249
"36119003600",0.40749408057727
"36119003700",0.376730435171859
"36119003800",0.412410872613439
"36119003900",0.366708200517479
"36119004001",0.400392426954391
"36119004002",0.359728664248975
"36119004100",0.443318679544793
"36119004500",0.421856875578354
"36119006000",0.469964759098432
"36119006100",0.534166645662625
"36119006200",0.386488345360047
"36119006301",0.455560949209782
"36119006302",0.539313683152392
"36119006500",0.452879504658872
"36119015100",0.453579127799998
